"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01"
"Bayside","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,5,5,3,3,1,2,2,2,2,1,1,2,0,0,0,0,0,0,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2,1,2,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,2,2,1
"Bedford Park","Bronx","Neighborhood",2,3,3,3,3,3,2,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0
"Bedford-Stuyvesant","Brooklyn","Neighborhood",21,21,28,30,27,26,26,20,18,21,19,20,20,26,22,21,21,23,23,21,26,17,17,19,19,20,21,20,19,18,18,20,20,20,15,17,18,18,15,12,12,10,9,10,10,9,8,7,7,7,9,8,8,5,3,4,4,4,4,5,4,4,3,3,3,3,3,3,3,2,1,1,1,2,3,4,4,4,2,1,1,1,2,2,2,2,3,5,6
"Bellerose","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bensonhurst","Brooklyn","Neighborhood",0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,2,1,1,2,2,2,1,1,1,0,1,1,0,0
"Bergen Beach","Brooklyn","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boerum Hill","Brooklyn","Neighborhood",1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,1,1,4,3,3,3,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1
"Briarwood","Queens","Neighborhood",0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,0,0,3,4,4,4,3,3,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,5,6,8,8,9,8,8,7,5,3,3,2,2,2,3,2,1,1,1,0,0,0,0,0,2,2,3,2,3,3,2,2,3,3,2,3,2,2,2,1,1
"Brighton Beach","Brooklyn","Neighborhood",10,10,16,16,16,20,11,11,14,13,13,16,21,23,27,29,30,29,13,9,5,7,8,8,7,8,7,8,9,10,10,9,9,11,11,11,11,12,11,9,10,8,6,7,7,6,6,8,8,11,9,10,9,8,7,7,6,5,6,4,5,5,3,7,7,8,10,9,7,6,6,5,5,5,4,5,4,4,4,3,2,1,3,3,4,4,4,3,2
"Bronxwood","Bronx","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Brooklyn Heights","Brooklyn","Neighborhood",35,27,31,38,29,32,35,42,50,47,44,51,38,36,35,35,40,40,42,42,43,37,38,43,44,44,47,52,53,51,46,46,46,51,45,37,37,40,40,39,38,37,37,33,35,33,32,29,31,34,29,34,32,25,24,25,28,26,25,24,23,23,27,24,25,21,24,28,23,22,25,23,19,20,19,15,13,12,14,22,20,18,14,13,12,17,20,19,11
"Bushwick","Brooklyn","Neighborhood",4,4,5,5,5,5,5,5,6,6,6,4,4,5,6,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,3,3,3,3,2,3,3,3,4,3,3,2
"Canarsie","Brooklyn","Neighborhood",0,0,1,1,2,2,3,3,3,4,4,4,4,4,4,4,5,5,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,4,4,4,3,2,2,1,1,1,1,1,1,3,2,2,2,2,1,1,2,1,1,1,1,4,1,1,1,1,1,1,0,1,3,3,2,2,2,2,4,4,2,1,1,1,1,1,1,1,1
"Carnegie Hill","Manhattan","Neighborhood",12,11,13,13,11,9,11,9,10,11,12,9,13,13,13,14,10,8,7,7,9,8,12,16,17,16,16,16,20,14,15,17,15,15,18,17,16,13,19,13,14,16,14,14,15,18,17,17,16,17,16,16,18,16,14,17,18,13,12,11,11,12,13,12,11,6,9,10,7,6,6,8,9,9,10,11,13,11,14,11,11,12,12,13,14,11,13,12,12
"Carroll Gardens","Brooklyn","Neighborhood",9,12,10,10,30,11,13,11,10,9,8,3,3,6,6,6,5,5,6,6,7,9,8,8,8,9,10,7,7,7,7,7,6,4,4,4,3,3,2,0,1,1,1,2,2,2,2,1,1,1,2,2,2,3,3,1,1,1,1,1,2,3,3,3,2,2,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
"Central Harlem","Manhattan","Neighborhood",17,27,24,28,19,21,20,22,23,22,21,23,22,23,20,20,28,28,28,31,35,32,29,30,32,31,28,33,33,28,29,27,21,19,15,15,13,14,16,17,16,15,16,15,14,15,18,20,20,18,26,25,29,28,24,21,19,15,15,14,15,11,14,13,11,10,9,7,8,8,10,10,9,9,9,11,12,9,8,8,2,1,0,0,3,2,4,7,7
"Central Park South","Manhattan","Neighborhood",15,18,21,19,17,21,21,18,18,16,14,14,13,15,17,16,14,14,14,16,14,8,9,13,12,13,14,15,16,19,26,27,26,24,22,21,24,25,24,25,22,23,22,22,15,17,15,11,11,11,11,12,14,14,11,9,7,6,7,6,7,8,9,9,9,8,9,8,9,9,8,8,8,6,9,10,12,12,13,13,14,12,14,14,16,18,17,15,11
"Chelsea","Manhattan","Neighborhood",77,80,84,88,83,82,87,88,84,79,85,87,93,95,103,102,91,90,90,96,91,88,83,90,98,100,99,100,88,81,83,87,83,69,69,68,72,74,84,86,81,81,83,73,68,64,63,60,70,76,74,68,64,69,63,57,51,44,55,59,61,64,64,56,53,48,44,49,50,51,48,46,50,56,60,63,58,50,48,51,49,45,47,50,54,51,53,53,42
"Chinatown","Manhattan","Neighborhood",2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,0,0,0,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,1,1,3,3,1,1,1,1,1,0,1,3,3,3,2,2,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
"Civic Center","Manhattan","Neighborhood",2,2,2,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,3,4,5,4,5,5,4,4,4,4,2,3,3,2,3,3,3,2,3,3,3,3,1,2,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,2,2
"Clinton Hill","Brooklyn","Neighborhood",8,10,10,10,8,5,5,4,4,5,5,5,5,5,5,6,7,6,6,6,10,9,10,11,8,11,13,17,18,20,23,20,16,15,14,10,10,10,10,9,8,9,7,7,9,9,9,11,10,14,15,14,13,11,11,12,13,13,12,13,14,15,15,16,17,13,10,9,9,9,9,8,7,5,7,8,9,12,14,15,14,12,10,7,5,6,4,8,7
"Cobble Hill","Brooklyn","Neighborhood",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,3,3,2,2,2,3,3,3,3,3,3,5,7,7,10,8,7,7,7,6,6,6,6,8,8,6,5,4,3,2,1,1,2,2,3,3,3,3,2,1,2,2,3,5,5,4,2,2,1,1,3,3,5,2,2,2,1,1,1,2,3,3,3,3,2
"College Point","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"Columbia Street Waterfront District","Brooklyn","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,3,3,2,2,2,2,2,1,0,1,2,2,1,1,1,2,1,1,3,3,2,2,2,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,3,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Concourse","Bronx","Neighborhood",1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,1,1,1,4,4,5,5,6,5,6,5,5,5,5,4,4,2,2,2,3,4,3,3,4,2,2,1,1,1,1,1
"Corona","Queens","Neighborhood",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
"Crown Heights","Brooklyn","Neighborhood",9,12,11,17,17,15,20,19,20,23,21,19,16,16,18,14,13,13,14,14,11,10,11,9,9,9,10,7,6,5,3,3,2,2,2,1,1,1,0,0,1,1,1,3,3,3,3,2,2,1,4,4,3,3,1,0,1,1,1,1,1,1,0,1,3,3,2,2,3,6,7,7,8,9,5,10,5,5,3,3,3,2,3,4,4,4,4,4,4
"Ditmas Park","Brooklyn","Neighborhood",0,0,0,0,1,1,1,2,2,2,1,1,3,3,3,5,4,4,3,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,2,3,2,3,3,4,3,3,3,4,4,3,4,4,3,3,3,2,2,2,2,3,2,2,2,2,1,2,1,2,3,3,3,1,0,0,1,2,2,2,1,1,1,0,0,1,3,3,3,4,5,4,3,3,3
"Douglaston","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Downtown Brooklyn","Brooklyn","Neighborhood",68,64,69,71,69,70,66,71,66,60,59,59,59,60,61,64,59,58,56,59,57,53,51,53,57,60,58,57,51,44,40,38,39,36,35,31,29,28,29,30,28,26,28,30,26,24,20,17,17,13,16,15,14,12,11,13,11,13,16,15,15,12,14,17,22,20,23,22,20,16,19,19,23,21,16,18,18,13,11,10,11,9,10,10,15,16,19,18,14
"DUMBO","Brooklyn","Neighborhood",6,7,8,7,4,4,3,4,4,4,5,5,4,4,4,6,7,6,6,3,4,2,2,4,4,9,10,13,13,11,11,16,16,14,14,15,16,14,12,9,9,6,4,3,3,3,3,4,3,2,2,1,2,2,2,2,3,3,2,1,2,2,1,1,1,1,1,0,0,0,1,2,2,3,3,3,3,0,1,1,1,1,1,4,4,3,2,2,3
"Dyker Heights","Brooklyn","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Elmhurst","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"East Harlem","Manhattan","Neighborhood",6,6,6,4,4,4,3,5,6,7,5,4,4,5,7,7,8,7,7,8,8,9,10,9,10,12,13,11,9,10,10,8,8,10,10,8,8,8,9,8,8,10,11,11,8,10,9,7,8,7,8,5,5,5,5,5,2,2,3,3,3,1,1,2,2,3,3,3,1,1,0,0,1,1,2,3,3,2,5,5,4,2,3,3,3,2,1,3,2
"East New York","Brooklyn","Neighborhood",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,3,2,2,1,1,1,11,10,10,11,11,11,13,13,12,13,12,10,9,8,8,8,8,5,5,5,5,5,5,5,4,4,4,2,1,1,1,3,2,1,1,0,1,1,2,2,3,5,4,4,4,5,4
"East Village","Manhattan","Neighborhood",24,22,25,25,22,21,21,25,23,21,25,27,29,31,31,32,30,27,28,26,30,28,24,29,33,33,38,39,36,31,31,34,31,28,23,23,24,23,22,23,21,19,14,12,14,15,18,21,23,25,27,31,28,25,23,20,17,14,14,12,15,15,18,20,21,21,21,18,21,20,15,16,13,19,20,17,21,26,26,23,21,18,21,20,29,28,29,24,22
"Elmhurst","Queens","Neighborhood",0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,4,5,4,4,5,5,3,2,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,1,1,0,0,0,0,0,0,1,3,3,4,7,8,11,11,10,8,5,4,5,2,1,1,2,1,2,3,1,2,5,4,4,4,4,5,5,3,3,2,0
"Financial District","Manhattan","Neighborhood",165,174,175,171,176,163,148,147,150,153,160,146,148,149,116,113,111,106,106,113,108,107,115,126,141,148,150,152,146,125,116,109,112,112,106,108,111,115,123,113,110,95,89,89,94,88,86,81,93,96,103,109,105,90,82,82,71,69,76,81,93,96,93,86,89,86,82,77,73,57,53,59,68,74,75,83,86,77,75,70,64,57,53,66,84,87,89,87,82
"Flatbush","Brooklyn","Neighborhood",4,3,4,5,7,8,9,9,10,9,9,9,10,10,10,12,12,12,8,9,8,7,7,7,9,7,7,7,6,7,6,5,4,4,7,7,8,7,7,5,5,5,4,4,6,5,5,4,3,4,4,5,5,5,4,4,5,4,5,5,6,7,6,9,7,7,7,8,8,8,10,8,8,9,10,10,10,8,8,7,6,5,7,8,7,7,5,5,6
"Flatiron","Manhattan","Neighborhood",33,30,30,34,28,26,22,23,25,23,27,26,33,35,30,30,27,26,34,29,35,32,32,31,35,30,26,24,24,24,24,23,23,19,19,20,21,24,27,33,32,37,36,32,32,28,28,31,30,39,39,43,35,27,30,28,29,30,30,28,25,27,24,24,23,21,21,24,22,18,21,19,18,22,28,29,28,21,20,16,13,12,12,15,18,19,20,21,15
"Flatlands","Brooklyn","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flushing","Queens","Neighborhood",0,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,3,1,1,1,2,1,1,5,5,6,6,5,4,3,2,3,4,4,4,6,5,4,5,5,6,6,6,4,6,5,3,2,2,1,2,2,1,1,1,1,2,1,0,0,1,1,1,2,1,2,3,3,2,3,3,0,2,3,3,4,3,5,6,6,5,3,4,4,2,1,1,0,1
"Fordham","Bronx","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forest Hills","Queens","Neighborhood",5,4,5,8,10,9,9,7,6,6,5,8,7,8,6,8,7,9,10,12,16,17,15,19,18,16,17,19,18,18,21,19,18,19,19,17,18,20,20,23,27,27,30,30,32,32,27,28,26,29,29,29,31,31,35,34,31,28,25,27,29,30,29,30,32,27,27,31,29,30,28,28,31,35,33,35,36,29,31,33,31,29,25,27,27,30,30,32,32
"Fort Greene","Brooklyn","Neighborhood",19,20,21,21,23,23,19,19,15,14,12,13,16,15,13,14,12,12,11,12,15,12,12,9,10,9,9,4,4,3,3,4,6,5,6,8,9,8,7,7,6,6,10,10,10,10,10,8,7,4,4,7,8,9,6,4,4,4,2,2,1,4,3,6,6,5,5,6,6,6,6,5,2,6,9,10,11,10,8,6,3,3,2,3,2,3,2,2,3
"Glen Oaks Village","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
"Glendale","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gowanus","Brooklyn","Neighborhood",14,14,14,16,16,22,22,22,22,22,22,22,23,23,23,23,22,20,20,20,20,19,19,19,19,17,18,17,15,14,14,12,10,9,8,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,2,4,3,3,4,6,6,6,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"Gramercy Park","Manhattan","Neighborhood",39,38,43,49,51,50,51,53,50,43,36,38,44,46,44,48,46,42,40,50,45,44,42,48,52,57,56,58,56,52,51,54,51,47,48,51,52,55,53,53,50,43,35,34,36,40,38,39,44,54,57,54,53,55,54,52,43,44,43,39,46,54,53,51,42,35,34,34,33,31,34,35,38,48,52,52,44,42,36,30,25,27,34,39,42,46,49,42,33
"Gravesend","Brooklyn","Neighborhood",1,1,3,3,3,3,4,7,7,7,8,7,8,8,8,9,9,9,4,5,4,4,3,1,1,3,2,3,3,4,4,3,2,2,1,1,1,1,2,2,2,1,1,0,0,0,1,1,3,4,4,4,4,5,4,4,3,3,3,2,1,2,3,5,4,5,4,4,3,3,1,1,2,1,2,2,2,3,2,1,1,0,0,1,1,1,1,1,1
"Greenpoint","Brooklyn","Neighborhood",24,7,7,4,3,3,5,8,8,8,8,7,7,8,5,3,3,2,2,3,4,3,3,4,8,7,7,6,4,6,7,6,6,7,7,6,5,4,7,6,5,5,4,4,2,2,2,2,3,3,3,2,1,2,2,3,3,3,3,2,2,1,1,3,5,5,4,1,1,0,0,0,1,1,1,1,2,4,1,1,1,1,0,0,0,0,0,4,5
"Greenwich Village","Manhattan","Neighborhood",80,84,89,98,84,88,94,94,93,86,85,90,104,104,96,97,96,95,87,86,77,71,70,76,82,91,92,95,93,88,85,76,62,57,51,50,59,69,73,74,69,67,67,71,71,67,70,77,78,90,90,87,86,76,73,68,59,61,57,61,58,66,73,71,70,58,57,57,51,49,53,54,59,67,69,61,61,55,61,61,60,57,55,52,55,57,60,53,37
"Greenwood","Brooklyn","Neighborhood",1,0,0,0,0,0,0,1,4,4,4,4,5,11,8,8,8,2,1,1,3,3,3,3,7,7,7,6,6,6,7,5,6,6,5,5,5,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,2,1,1,1,2,2,3,3,3,4,2,2,2,2,0,0,0,0,1,1,1,1,3,3,3,3,3,1,1,1,1,0,0,0
"Hamilton Heights","Manhattan","Neighborhood",1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,5,4,5,3,3,3,3,3,3,2,2,2,2,2,4,4,5,8,7,7,6,6,3,3,3,3,3,4,4,5,6,6,7,7,5,6,6,5,3,2,2,3,3,1,0,1,1,2,2,4,4,2,1,0,1,1,1,2,2,2,2,2,1,1,1,0,0,0
"Highbridge","Bronx","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,3
"Howard Beach","Queens","Neighborhood",2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
"Inwood","Manhattan","Neighborhood",6,6,6,5,7,8,9,8,10,11,13,9,7,10,11,9,11,12,10,7,7,6,6,6,7,6,6,7,11,9,12,11,11,11,7,7,8,6,6,5,6,6,5,5,6,6,5,5,4,5,5,5,6,8,11,10,11,10,11,10,11,10,10,10,14,12,11,9,6,6,5,4,4,7,7,8,5,4,5,4,3,3,3,3,3,2,2,2,3
"Jackson Heights","Queens","Neighborhood",2,2,2,3,3,3,3,3,4,4,3,3,4,4,3,3,2,1,2,1,2,2,1,2,3,3,2,2,3,4,3,2,2,2,2,2,1,1,1,1,3,2,4,5,5,5,4,4,4,6,9,9,11,12,9,10,8,9,7,6,9,9,11,10,12,11,11,11,9,10,9,8,8,8,7,6,4,7,8,6,7,7,9,7,11,13,12,9,5
"Jamaica","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,3,3,3,4,1,2,2,2,2,2,2,2,2,3,4,3,2,0,0,0,0,1,2,1,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
"Jamaica Estates","Queens","Neighborhood",1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,2,3,2,3,3,4,4,4,3,4,4,4,4,2,2,1,2,2,2,4,3,2,3,3,2,2,2,2,3,2,2,1,1,0,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Kensington","Brooklyn","Neighborhood",3,3,6,7,8,10,13,11,10,10,10,8,8,7,8,5,3,6,6,8,11,10,11,13,13,13,11,8,11,11,15,15,15,16,16,14,11,16,16,18,14,18,9,9,9,9,8,8,6,8,5,5,3,4,4,7,7,6,5,8,8,6,7,7,7,7,10,12,13,11,11,9,8,7,7,9,7,6,6,5,5,4,3,3,3,1,2,1,1
"Kew Gardens","Queens","Neighborhood",3,3,3,3,4,2,3,3,2,2,2,3,3,3,3,2,2,2,2,4,4,5,5,7,6,10,11,10,13,11,10,10,8,7,7,4,5,6,5,4,4,2,1,1,2,3,4,4,2,2,4,5,5,6,4,3,4,3,4,2,2,3,3,3,5,6,9,8,8,9,8,8,6,5,7,6,6,6,6,5,7,7,7,7,9,8,9,11,10
"Kew Gardens Hills","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingsbridge","Bronx","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kips Bay","Manhattan","Neighborhood",59,54,53,62,59,55,57,64,55,51,53,50,53,51,56,58,58,57,59,55,48,46,37,39,44,47,52,71,76,67,73,75,72,63,65,52,60,56,60,62,61,54,49,43,38,31,31,36,39,50,52,48,41,30,35,37,33,29,36,33,39,44,55,50,49,39,43,43,39,36,29,25,27,28,32,38,37,32,37,33,30,28,26,24,22,27,32,39,27
"Lenox Hill","Manhattan","Neighborhood",72,79,79,86,94,83,85,86,82,80,84,93,108,106,108,103,102,106,110,107,111,105,100,112,105,102,102,94,97,78,83,79,76,78,83,81,79,80,83,89,86,82,77,73,79,70,75,80,78,78,84,85,70,64,62,65,55,56,57,60,58,65,65,66,66,65,70,81,84,75,74,73,72,72,75,83,73,67,60,59,56,46,50,48,45,43,48,45,46
"Lincoln Square","Manhattan","Neighborhood",104,110,111,103,101,93,92,99,98,89,81,86,92,88,93,97,103,97,93,90,89,89,93,88,93,88,91,90,83,78,89,95,84,76,77,71,80,84,85,83,82,76,73,70,60,52,52,56,58,70,73,76,82,85,78,79,83,74,74,71,69,70,80,78,81,82,80,80,71,70,67,66,74,75,75,72,70,65,59,63,61,48,53,55,60,60,55,44,31
