"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01"
"Sunnyside","Queens","Neighborhood",0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,3,2,1,1,1,1,4,2,2,2,3,3,2,2,1,1,1,0,0,1,2,3,3,3,3,7,6,6,8,9,9,7,7,7,5,4,2,2,0,0,0,0,1,1,2,3,3,1,3,5,6,5,6,6,6,6,6,8,6,6,5,6,5,6,8,7,7,4,4,3,4
"Sunset Park","Brooklyn","Neighborhood",0,0,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"Sutton Place","Manhattan","Neighborhood",22,24,24,27,26,22,25,25,26,25,27,25,31,29,31,34,34,27,32,31,27,31,30,32,31,31,31,33,29,28,30,31,30,27,29,28,35,35,34,33,33,29,30,29,31,30,31,31,30,27,29,23,21,20,23,29,28,27,29,26,26,32,36,34,31,22,19,18,15,14,17,18,18,22,27,27,25,23,20,21,35,34,35,37,46,41,37,36,24
"Tribeca","Manhattan","Neighborhood",22,21,22,24,24,23,23,19,19,18,16,17,14,16,15,14,15,16,12,14,14,15,12,8,8,11,12,12,17,17,21,19,18,18,18,19,21,18,17,18,16,13,10,11,10,12,13,13,17,19,23,24,22,20,21,19,17,12,13,9,11,13,12,13,11,11,11,8,6,5,6,6,8,9,10,10,8,5,6,7,9,8,8,10,12,9,10,9,7
"Turtle Bay","Manhattan","Neighborhood",44,44,41,44,48,48,47,48,44,47,45,52,53,54,59,57,66,68,66,66,65,60,58,55,56,60,59,60,63,57,63,64,62,63,60,59,60,64,58,57,57,59,56,58,54,48,52,56,55,57,56,56,54,50,50,54,52,48,45,39,40,46,43,39,49,47,49,52,44,38,36,35,46,50,55,52,45,56,47,47,49,43,42,47,49,54,58,52,51
"University Heights","Bronx","Neighborhood",0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,1,1,0,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Upper East Side","Manhattan","Neighborhood",81,87,87,97,107,102,105,107,94,75,78,84,82,83,90,84,80,77,82,88,85,84,78,79,78,84,84,83,88,81,75,74,71,68,79,69,78,85,92,88,89,89,89,87,75,68,62,66,64,64,73,70,76,74,73,72,56,54,55,58,67,70,70,66,78,77,82,92,87,77,68,71,71,74,78,75,70,69,62,59,51,46,44,43,42,49,48,53,40
"Upper West Side","Manhattan","Neighborhood",90,87,88,92,87,87,91,99,105,108,107,113,122,117,109,103,93,85,86,91,84,80,82,81,85,85,88,80,80,72,70,72,69,67,72,73,79,86,85,89,88,90,89,93,84,73,69,72,82,87,88,84,80,73,74,79,70,65,67,71,83,89,93,97,106,93,85,86,80,76,73,77,76,83,87,84,85,79,79,81,70,61,61,55,57,62,64,62,55
"Washington Heights","Manhattan","Neighborhood",13,15,14,12,12,13,18,16,17,16,17,18,18,18,17,18,15,13,13,12,10,10,10,7,8,17,16,15,19,26,25,17,17,14,16,14,14,16,15,17,17,15,15,17,17,14,15,14,13,16,18,18,20,19,23,21,23,19,15,13,14,21,23,23,27,26,26,25,25,19,12,14,13,19,18,16,21,22,21,16,14,11,8,6,7,6,8,9,5
"West Harlem","Manhattan","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,3
"West Village","Manhattan","Neighborhood",56,50,54,57,53,48,54,54,45,45,52,47,55,60,59,51,53,49,51,56,59,52,47,48,53,53,50,55,58,47,56,59,60,59,51,49,55,53,50,41,42,40,37,36,33,28,25,29,35,42,48,52,47,49,42,40,32,26,25,29,28,38,39,36,36,36,42,40,35,32,26,31,37,41,40,47,47,50,45,41,40,39,39,40,44,47,41,32,26
"Whitestone","Queens","Neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2
"Williamsbridge","Bronx","Neighborhood",0,0,0,1,1,1,1,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"Williamsburg","Brooklyn","Neighborhood",85,79,76,66,66,67,66,62,56,51,51,53,50,57,52,50,49,55,53,54,61,57,65,58,58,61,53,54,51,44,43,33,32,34,31,26,27,24,23,15,8,9,8,14,13,10,8,5,7,14,15,13,10,10,13,12,13,8,7,7,8,9,8,6,7,9,14,12,10,12,13,15,16,19,22,30,34,32,28,24,24,14,15,19,26,19,21,22,21
"Windsor Terrace","Brooklyn","Neighborhood",2,2,2,2,2,3,5,4,3,3,2,2,3,2,2,2,3,2,2,1,0,0,0,0,2,2,2,2,3,3,4,5,6,5,4,3,3,2,1,1,1,2,2,4,4,4,4,4,3,2,4,4,3,3,3,4,3,3,4,3,4,4,6,5,5,4,4,4,4,4,4,3,2,1,1,2,2,1,1,2,2,1,0,0,1,2,4,4,4
"Woodside","Queens","Neighborhood",0,0,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,1,0,3,4,4,4,5,6,7,5,5,3,2,1,1,0,0,1,3,3,4,8,9,9,9,7,6,4,5,4,4,4,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,3,2,2,2,3,2,2,2,3,4,5,5,7,8,6,5,4,3,4
"Yorkville","Manhattan","Neighborhood",87,95,100,101,92,76,72,69,65,62,66,67,78,80,84,86,77,71,75,79,80,72,74,71,82,74,75,78,82,78,77,81,76,70,71,68,81,81,86,86,79,72,71,73,66,59,65,67,73,77,73,73,81,85,77,74,67,53,55,56,56,62,70,69,64,58,62,60,54,52,53,46,46,57,64,69,65,66,65,62,52,50,44,45,48,49,50,49,46
