"Month","PI_All_Downtown","YoY","MoM"
1995-01-01,272943.081007802,NA,NA
1995-02-01,270235.156764572,NA,-0.009921204938522
1995-03-01,267802.243769187,NA,-0.00900294774563637
1995-04-01,265142.70286806,NA,-0.00993098811905202
1995-05-01,262635.024053641,NA,-0.00945784585920295
1995-06-01,260149.202506665,NA,-0.00946492782496733
1995-07-01,257882.303958819,NA,-0.00871384008101173
1995-08-01,255726.284690073,NA,-0.00836047776698112
1995-09-01,253803.332877638,NA,-0.00751957044527407
1995-10-01,252200.329114767,NA,-0.00631592873385978
1995-11-01,250846.174713282,NA,-0.00536936016791978
1995-12-01,249860.591682158,NA,-0.0039290335292137
1996-01-01,249203.598303406,-0.0869759461084031,-0.00262943977811425
1996-02-01,248935.151096992,-0.0788202612961152,-0.00107722042635727
1996-03-01,249044.698793184,-0.0700425235875545,0.000440065196533723
1996-04-01,249554.123461064,-0.0587931677484381,0.00204551500332451
1996-05-01,250437.126997124,-0.0464442893725616,0.00353832476824745
1996-06-01,251745.8030415,-0.0323022303516366,0.00522556723145495
1996-07-01,253384.361517774,-0.0174418421582104,0.0065087817015308
1996-08-01,255440.896786755,-0.00111598971401961,0.00811626754177941
1996-09-01,257842.835641514,0.0159158775342945,0.00940311001477867
1996-10-01,260471.494196333,0.0327960122439095,0.0101948093623709
1996-11-01,263468.434547539,0.0503187256041842,0.0115058285377936
1996-12-01,266605.3098512,0.0670162431630772,0.0119060763732419
1997-01-01,270051.48048844,0.0836580303292864,0.0129261140341241
1997-02-01,273664.486957929,0.099340473822044,0.013378954497693
1997-03-01,277036.391636908,0.112396260508117,0.0123213089007665
1997-04-01,280850.311717804,0.125408419715507,0.0137668558934125
1997-05-01,284584.136137649,0.136349628148053,0.013294713461441
1997-06-01,288452.303605389,0.145807795484234,0.0135923510011455
1997-07-01,292173.717450069,0.153085043212403,0.0129013143530683
1997-08-01,295965.677883439,0.158646409429554,0.0129784446953813
1997-09-01,299680.502479252,0.162260342559626,0.0125515384837165
1997-10-01,303184.997743266,0.163985328524039,0.0116941050052339
1997-11-01,306706.653257671,0.16411157102894,0.011615533554161
1997-12-01,310015.199576539,0.16282455045463,0.0107873314247573
1998-01-01,313330.865366896,0.160263460878561,0.0106951717041168
1998-02-01,316552.681151506,0.156718157588967,0.0102824717917172
1998-03-01,319394.946260446,0.152898882248852,0.00897880598768319
1998-04-01,322487.84462979,0.148255249058875,0.00968361711904353
1998-05-01,325449.775752054,0.143597742899622,0.00918462872814363
1998-06-01,328503.691561188,0.13884925672353,0.00938367771824988
1998-07-01,331481.48227536,0.13453559467411,0.00906471004943721
1998-08-01,334612.815083985,0.130579793835984,0.00944647884138705
1998-09-01,337830.148122041,0.127301060052882,0.00961509210951239
1998-10-01,341054.74248742,0.124906393871844,0.00954501658097806
1998-11-01,344531.107362356,0.123324530794929,0.0101929820696278
1998-12-01,348061.003817719,0.122722383590056,0.0102455086926316
1999-01-01,351905.08888677,0.123110193675636,0.011044285418035
1999-02-01,355969.47282679,0.124518900082918,0.0115496594632307
1999-03-01,359846.113620028,0.126649365724769,0.010890374285339
1999-04-01,364382.229224957,0.129909964957784,0.0126057095887344
1999-05-01,369027.251403323,0.133899233915801,0.0127476638700128
1999-06-01,374099.14827472,0.138797395234263,0.0137439629515441
1999-07-01,379270.626419891,0.144168367465044,0.0138238169453753
1999-08-01,384884.335924061,0.15023788263297,0.014801329481168
1999-09-01,390767.718227563,0.156698774220702,0.0152861048225748
1999-10-01,396704.518841722,0.163169630624193,0.0151926588027453
1999-11-01,403071.120987436,0.16991212803177,0.0160487260500672
1999-12-01,409427.092315071,0.176308428190046,0.0157688581411235
2000-01-01,416162.330940472,0.182598217766547,0.0164503980118107
2000-02-01,423030.372368593,0.188389467808197,0.0165032750864316
2000-03-01,429531.717125185,0.19365390056356,0.0153685058597328
2000-04-01,436512.221320057,0.197951454022665,0.0162514289784983
2000-05-01,443243.99312038,0.201114528628518,0.0154217258338496
2000-06-01,450117.868667363,0.203204740623515,0.0155081076194441
2000-07-01,456634.937402258,0.203981815603923,0.0144785825859108
2000-08-01,463171.909146773,0.203405454354887,0.0143155313119572
2000-09-01,469453.775047775,0.201362735839888,0.0135627091733055
2000-10-01,475253.656031934,0.198004140259244,0.0123545305042401
2000-11-01,480924.610639539,0.19315075081881,0.0119324797097913
2000-12-01,486073.760289149,0.187204680424752,0.0107067709484918
2001-01-01,491038.295088502,0.179920090265786,0.0102135420690048
2001-02-01,495647.227462745,0.17165872674239,0.00938609558631764
2001-03-01,499532.645128456,0.162970335396371,0.00783907878512813
2001-04-01,503564.878802022,0.153610034741274,0.00807201233570876
2001-05-01,507240.51656503,0.144382156189243,0.00729923375862285
2001-06-01,510875.246967956,0.134981040589377,0.00716569415144419
2001-07-01,514309.239803305,0.126302868390119,0.00672178355817765
2001-08-01,517853.561244149,0.118059085660241,0.00689142089339034
2001-09-01,521478.234548623,0.110819131224481,0.00699941754917188
2001-10-01,525141.33000789,0.10497062640714,0.00702444554073756
2001-11-01,529161.337302549,0.100299975496916,0.00765509599977365
2001-12-01,533340.736311651,0.0972423938177283,0.00789815641181746
2002-01-01,537990.501880308,0.0956182180930387,0.00871818942766867
2002-02-01,543001.206236102,0.0955396825596415,0.00931374129892881
2002-03-01,547850.632354621,0.0967263855473148,0.00893078332575592
2002-04-01,553556.668061913,0.0992757663696104,0.0104153128066453
2002-05-01,559378.308657421,0.102787120487655,0.0105167924647906
2002-06-01,565634.247308291,0.10718663835316,0.0111837347892265
2002-07-01,571847.180423936,0.1118742114037,0.0109840115679178
2002-08-01,578349.31561179,0.116820195698372,0.0113704070080984
2002-09-01,584831.733111323,0.121488289185334,0.0112084813183819
2002-10-01,590987.509780408,0.125387540477016,0.0105257227345301
2002-11-01,597142.228161639,0.128469119088762,0.0104142951913107
2002-12-01,602821.864082452,0.130275306272877,0.00951136203898906
2003-01-01,608332.787320738,0.130750050780785,0.00914187684063816
2003-02-01,613438.530079623,0.129718540280543,0.00839300932861442
2003-03-01,617683.029284746,0.127466124534695,0.0069191923835823
2003-04-01,622001.925512909,0.123646342642089,0.00699209145047086
2003-05-01,625839.290084222,0.118812224925768,0.00616937731848477
2003-06-01,629503.723650544,0.112916565158831,0.00585523092650408
2003-07-01,632853.282186308,0.106682526120257,0.00532095110786535
2003-08-01,636226.112942013,0.100072388378293,0.00532956192318768
2003-09-01,639645.609742811,0.0937258933264027,0.00537465648020286
2003-10-01,643133.709705563,0.0882357055981278,0.00545317580488747
2003-11-01,647062.512649621,0.0835986505956325,0.00610884312977
2003-12-01,651314.373237206,0.0804425188335922,0.00657101980792363
2004-01-01,656305.731565742,0.0788597051562681,0.00766351631966522
2004-02-01,662002.207734741,0.0791663308935193,0.00867960752896146
2004-03-01,668048.788118123,0.0815398132140663,0.00913377676499372
2004-04-01,675352.05203212,0.0857716420656058,0.010932231363775
2004-05-01,683271.515538597,0.0917683283301791,0.0117264225120037
2004-06-01,692337.790045068,0.0998152418069007,0.013268919163598
2004-07-01,701918.617788582,0.109133250227722,0.0138383717908712
2004-08-01,712590.597067471,0.120027271078731,0.0152040122721233
2004-09-01,723972.39599247,0.13183360436659,0.0159724236775487
2004-10-01,735548.810035934,0.143695002976412,0.0159901318165514
2004-11-01,747958.717512687,0.155929609412717,0.0168716301453151
2004-12-01,760260.451681406,0.16727111042047,0.0164470763969808
2005-01-01,773123.284499376,0.177992583814472,0.016918981895641
2005-02-01,785986.295766349,0.187286517451144,0.0166377232776043
2005-03-01,797475.648048681,0.193738634411941,0.0146177514089216
2005-04-01,809917.116986986,0.199251730338219,0.0156010643945663
2005-05-01,821567.657658966,0.20240290861731,0.0143848554717816
2005-06-01,833091.655622763,0.20330230069997,0.0140268398547163
2005-07-01,843649.073191909,0.201918643859105,0.0126725762980475
2005-08-01,853889.940464981,0.198289654647424,0.01213877617897
2005-09-01,863408.995055511,0.19259933090666,0.0111478706323045
2005-10-01,871902.252429377,0.185376470647518,0.00983688775829838
2005-11-01,879941.706160698,0.176457584566854,0.00922059062116265
2005-12-01,887030.907275882,0.166746087231169,0.00805644404117989
2006-01-01,893697.064688389,0.155956731101546,0.00751513544548144
2006-02-01,899756.745256149,0.144748642695954,0.00678046376919972
2006-03-01,904766.864144788,0.134538548429203,0.00556830378327744
2006-04-01,909888.505118611,0.123434097187047,0.00566073004747425
2006-05-01,914512.360570393,0.113130917514779,0.0050817824665006
2006-06-01,919046.854417137,0.103176161007302,0.0049583734919838
2006-07-01,923295.541804145,0.0944071073425072,0.00462292794604258
2006-08-01,927640.108973233,0.0863696420502289,0.00470549999689052
2006-09-01,932030.471742668,0.0794773706089835,0.00473282981941603
2006-10-01,936401.821009082,0.0739756875268864,0.0046901355684652
2006-11-01,941096.689236089,0.0694989027650679,0.00501373248286496
2006-12-01,945853.616946021,0.0663141601804909,0.00505466416399125
2007-01-01,951023.608225983,0.0641453863984465,0.00546595285711815
2007-02-01,956449.364984118,0.0630088299163898,0.00570517567724327
2007-03-01,961552.00829373,0.0627621837174788,0.00533498530755683
2007-04-01,967365.398260842,0.0631691606376965,0.00604584038821576
2007-05-01,973085.842392711,0.0640488683890339,0.00591342644894377
2007-06-01,979010.742462632,0.0652457355762617,0.00608877430109622
2007-07-01,984641.408705725,0.0664422864879306,0.0057513835128391
2007-08-01,990218.727729999,0.0674600183319281,0.0056643149221256
2007-09-01,995399.743670446,0.0679905580868974,0.00523219344914239
2007-10-01,999888.884280037,0.0677989532341365,0.00450988724694379
2007-11-01,1003832.89970536,0.0666628744812534,0.00394445371613505
2007-12-01,1006830.59194752,0.0644676659358572,0.00298624625975319
2008-01-01,1008938.03483032,0.06089693894389,0.00209314546027306
2008-02-01,1009931.50492696,0.0559173772296124,0.000984669090016599
2008-03-01,1009764.35433609,0.0501401334784954,-0.00016550685868244
2008-04-01,1008332.36059508,0.042349005254777,-0.00141814645651106
2008-05-01,1005682.29582034,0.0334980245396241,-0.0026281659483518
2008-06-01,1001633.13605675,0.0231074007801111,-0.00402628124251647
2008-07-01,996504.530532091,0.012048164663276,-0.00512024347042872
2008-08-01,990031.496201877,-0.000189080980674938,-0.00649573999102393
2008-09-01,982459.795915498,-0.012999749936878,-0.00764793879328818
2008-10-01,974235.247667415,-0.0256564874516969,-0.00837138403248261
2008-11-01,964986.966416435,-0.0386976092338916,-0.00949286250227821
2008-12-01,955510.757807676,-0.0509716674784142,-0.00982003792647068
2009-01-01,945390.364418415,-0.0629847108723491,-0.010591605909787
2009-02-01,935158.718726459,-0.0740374825775011,-0.0108226676270921
2009-03-01,926019.893495735,-0.0829346574581937,-0.00977248572645451
2009-04-01,916229.149271731,-0.0913421158763502,-0.0105729307683059
2009-05-01,907259.283308481,-0.0978669038133738,-0.00978998100025497
2009-06-01,898694.016722142,-0.102771279851884,-0.00944081448811851
2009-07-01,891248.424446353,-0.105625316153391,-0.00828490246652103
2009-08-01,884546.638395562,-0.106546971698369,-0.00751954883393346
2009-09-01,878946.208292231,-0.10536165251099,-0.00633141302022233
2009-10-01,874601.798794699,-0.102268368046902,-0.00494274786846505
2009-11-01,871235.139011399,-0.0971534649355854,-0.00384936297631622
2009-12-01,869060.193369034,-0.0904757625513229,-0.00249639339023111
2010-01-01,867867.973734196,-0.0820004027985932,-0.00137184931945389
2010-02-01,867659.683242786,-0.07217922918539,-0.000240002509268367
2010-03-01,868217.332935088,-0.0624204306696284,0.000642705548121736
2010-04-01,869542.432684634,-0.0509552840839058,0.00152623047165723
