"Month","PI_All_Midtown","YoY","MoM"
1995-01-01,223602.427896887,NA,NA
1995-02-01,223426.263858411,NA,-0.000787844926967929
1995-03-01,223269.147573411,NA,-0.000703213141938885
1995-04-01,223100.535570689,NA,-0.00075519615922981
1995-05-01,222948.226913026,NA,-0.000682690685945175
1995-06-01,222808.546448495,NA,-0.000626515251836102
1995-07-01,222697.049681405,NA,-0.000500415127101084
1995-08-01,222614.60985189,NA,-0.000370188242872715
1995-09-01,222574.339581615,NA,-0.000180896798742336
1995-10-01,222584.075738465,NA,4.37433931879116e-05
1995-11-01,222653.340888173,NA,0.000311186456075641
1995-12-01,222786.094000018,NA,0.000596232292386478
1996-01-01,222999.705159305,-0.00269551070286023,0.000958817291745628
1996-02-01,223299.314843477,-0.000568191996508705,0.0013435429609967
1996-03-01,223663.935222847,0.00176821407582151,0.00163287728682104
1996-04-01,224150.527405516,0.00470636178501871,0.00217555048463391
1996-05-01,224722.899072966,0.00796001916908184,0.00255351470315457
1996-06-01,225424.584267703,0.0117411915337506,0.00312244634450565
1996-07-01,226214.806672366,0.0157961544438674,0.00350548458248046
1996-08-01,227149.39650413,0.0203705707152675,0.00413142643274278
1996-09-01,228206.744636807,0.0253057251153934,0.00465485776740016
1996-10-01,229349.145444302,0.0303933229876991,0.005005990551739
1996-11-01,230653.457601517,0.035930818201209,0.0056870155530262
1996-12-01,232035.271607535,0.0415159556929803,0.00599086621283007
1997-01-01,233584.189919777,0.0474641199767944,0.00667535716234435
1997-02-01,235252.990099084,0.0535320731457956,0.00714431991257714
1997-03-01,236860.202599899,0.059000425633678,0.00683184728125275
1997-04-01,238744.313959292,0.0651070810436858,0.00795452903743521
1997-05-01,240665.298880972,0.0709424801556562,0.00804620177051385
1997-06-01,242741.086342768,0.0768172740844459,0.00862520467823114
1997-07-01,244827.42127869,0.0822784983888396,0.00859489824057191
1997-08-01,247051.992664067,0.087618970009351,0.00908628361054942
1997-09-01,249332.395246012,0.092572419990592,0.00923045613740525
1997-10-01,251578.645820068,0.0969242781903632,0.00900906026206472
1997-11-01,253926.787384322,0.100901716474645,0.00933362828391093
1997-12-01,256212.329017393,0.104195613202942,0.00900078978123542
1998-01-01,258574.638475117,0.106986900799763,0.00922012405407502
1998-02-01,260926.615206399,0.10913198211212,0.00909592969037099
1998-03-01,263034.723530841,0.110506200043896,0.00807931503182857
1998-04-01,265349.320494553,0.11143723632219,0.0087995871139841
