"Month","PI_All_Upper_West_Side","YoY","MoM"
1995-01-01,230572.645919275,NA,NA
1995-02-01,231520.809324812,NA,0.00411221115044569
1995-03-01,232377.791789448,NA,0.00370153537012796
1995-04-01,233328.684914626,NA,0.00409201377573609
1995-05-01,234256.270662962,NA,0.00397544669090211
1995-06-01,235228.935716307,NA,0.00415214094628924
1995-07-01,236191.391357697,NA,0.0040915699357289
1995-08-01,237220.737338753,NA,0.00435810117861735
1995-09-01,238300.961084176,NA,0.0045536649010598
1995-10-01,239413.318592404,NA,0.00466786832569843
1995-11-01,240652.114862341,NA,0.00517429973077577
1995-12-01,241957.164944836,NA,0.00542297366986166
1996-01-01,243438.030625551,0.0557975325086082,0.00612036300331664
1996-02-01,245075.410005754,0.0585459282060714,0.00672606238226203
1996-03-01,246763.639319503,0.0619071530858211,0.00688861160615528
1996-04-01,248750.033918324,0.0660928124175577,0.00804978644462651
1996-05-01,250863.296556248,0.0708925564565963,0.0084955270342526
1996-06-01,253248.885885305,0.0766060098606691,0.00950951917560472
1996-07-01,255752.630128014,0.0828194400222326,0.00988649657413565
1996-08-01,258529.970672826,0.0898287121654278,0.0108594798943886
1996-09-01,261485.979124127,0.0972930110498447,0.0114339101327705
1996-10-01,264500.470273612,0.104785948537469,0.011528308934891
1996-11-01,267747.301880053,0.112590687321452,0.0122753339647439
1996-12-01,270987.687139323,0.119982072864452,0.012102401169003
1997-01-01,274403.410827336,0.127200257585943,0.0126047191445156
1997-02-01,277851.817184681,0.133740089134839,0.0125669223532876
1997-03-01,280964.515090188,0.138597711822539,0.0112027264642245
1997-04-01,284375.07341138,0.14321621963981,0.0121387511163016
1997-05-01,287608.658227335,0.14647563902537,0.0113708447690737
1997-06-01,290855.217689731,0.148495546872645,0.0112881144900372
1997-07-01,293882.697258382,0.149089638340309,0.0104088886309079
1997-08-01,296871.846265838,0.14830727552874,0.0101712317034697
1997-09-01,299708.06040873,0.146172584138665,0.00955366491826903
1997-10-01,302301.434277963,0.142914543649951,0.00865300007512881
1997-11-01,304831.141871242,0.138503132359489,0.00836816272248497
1997-12-01,307142.983962529,0.133420441367201,0.00758400889454869
1998-01-01,309403.525054154,0.127549851225577,0.00735989818963567
1998-02-01,311558.271461184,0.121310900961642,0.0069641947571637
1998-03-01,313438.456726235,0.115580224163265,0.00603477884324377
1998-04-01,315483.220289364,0.109391257485433,0.00652365247227538
1998-05-01,317463.307974554,0.103803028501391,0.0062763645032351
1998-06-01,319553.409864234,0.0986683079040267,0.00658375893269492
1998-07-01,321666.647350987,0.0945409523997149,0.00661309634483365
1998-08-01,323996.098899356,0.0913668742074973,0.00724181871994833
1998-09-01,326527.87391113,0.0894864604769892,0.00781421449324515
1998-10-01,329222.439488917,0.0890535146657623,0.00825217628593466
1998-11-01,332312.471403979,0.0901526312700218,0.00938584842473
1998-12-01,335647.477185337,0.092805288452515,0.010035752697658
1999-01-01,339497.184315454,0.0972634660708325,0.0114694952049093
1999-02-01,343792.634457776,0.103461746803945,0.0126523881221057
1999-03-01,348082.912081332,0.110530327761778,0.0124792598605927
1999-04-01,353313.374464049,0.119911778952893,0.0150264842115968
1999-05-01,358865.831881475,0.130416721765652,0.0157153898457683
1999-06-01,365110.902445129,0.142566128774059,0.0174022434259389
1999-07-01,371622.23572111,0.155302356590343,0.0178338505708133
1999-08-01,378803.363453485,0.169160260695466,0.0193237299658371
1999-09-01,386406.940958758,0.183381180694928,0.0200726240547404
1999-10-01,394106.58168876,0.197082988330227,0.0199262485060361
1999-11-01,402341.613224628,0.210732812779441,0.0208954428027577
1999-12-01,410493.131796956,0.222988878805995,0.0202601925935459
2000-01-01,419008.778178268,0.234203986177786,0.0207449180551065
2000-02-01,427518.272306213,0.243535286846644,0.0203086297259494
2000-03-01,435374.044907805,0.250776840220405,0.0183752908600019
2000-04-01,443555.110790962,0.255415568300532,0.018790890221509
2000-05-01,451172.614723164,0.257218087210308,0.0171737485306347
2000-06-01,458646.554594768,0.256184221077038,0.0165655884858842
2000-07-01,465416.797743895,0.252392222550362,0.0147613518106737
2000-08-01,471879.621082592,0.245711275582524,0.0138860981598106
2000-09-01,477762.100324079,0.236422148987928,0.0124660590936139
2000-10-01,482905.252170724,0.22531638548501,0.0107650896610587
2000-11-01,487665.462046194,0.212068167987214,0.00985744067614269
2000-12-01,491758.071185106,0.197969059877831,0.00839224726257992
2001-01-01,495520.270116833,0.182601167143121,0.00765050774389953
2001-02-01,498888.47638765,0.166940710385163,0.00679731279211415
2001-03-01,501674.268530122,0.15228336277225,0.00558399777570262
2001-04-01,504569.789595524,0.137558281530696,0.0057717153281267
2001-05-01,507277.96129656,0.124354503670001,0.00536728864248115
2001-06-01,510083.801897529,0.112150078938689,0.00553116992072411
2001-07-01,512899.70712327,0.102022336988153,0.00552047568510283
2001-08-01,515979.414495025,0.0934556006280995,0.00600450210632575
2001-09-01,519290.693414801,0.0869231633537937,0.00641746322964498
2001-10-01,522762.464584402,0.082536299273025,0.00668560252210848
2001-11-01,526634.898389837,0.0799101830589586,0.00740763552814339
2001-12-01,530649.225516729,0.0790859502069743,0.00762259990586567
2002-01-01,535031.286124051,0.0797364273269827,0.00825792330716091
2002-02-01,539600.165901573,0.081604790330513,0.00853946282397988
2002-03-01,543840.914067629,0.084051840372543,0.00785905645334584
2002-04-01,548591.957247181,0.0872469350314178,0.00873609001576869
2002-05-01,553175.52008639,0.0904781249958513,0.00835514042569874
2002-06-01,557840.940804021,0.0936260644404581,0.00843388860899408
