"Month","PI_Manhattan","YoY","MoM"
1995-01-01,240959.908537097,NA,NA
1995-02-01,240598.815201933,NA,-0.0014985618867347
1995-03-01,240275.343631143,NA,-0.00134444373933573
1995-04-01,239924.559662889,NA,-0.0014599249467403
1995-05-01,239601.15933973,NA,-0.00134792504616132
1995-06-01,239293.939650353,NA,-0.00128221286668095
1995-07-01,239033.491968824,NA,-0.00108840065866278
1995-08-01,238817.385366346,NA,-0.000904085033013424
1995-09-01,238671.710666721,NA,-0.000609983646716161
1995-10-01,238615.05080352,NA,-0.00023739664429745
1995-11-01,238661.854362192,NA,0.000196146716288093
1995-12-01,238826.624150118,NA,0.000690390126930174
1996-01-01,239138.97727645,-0.007556988511915,0.00130786560101348
1996-02-01,239613.822698725,-0.00409392083822557,0.00198564628686881
1996-03-01,240217.977815847,-0.000238750320481151,0.00252137005418795
1996-04-01,241047.578650738,0.00468071709468676,0.00345353350500366
1996-05-01,242042.498407453,0.0101891788606148,0.00412748289065634
1996-06-01,243275.845839685,0.0166402299830501,0.00509558214093264
1996-07-01,244671.620687977,0.0235871913710257,0.0057374164848718
1996-08-01,246319.481680501,0.0314135267105728,0.0067349903020637
1996-09-01,248170.964550582,0.039800501941873,0.00751659128806814
1996-10-01,250149.92050431,0.0483409142128599,0.0079741639289348
1996-11-01,252374.392414839,0.0574559268773507,0.00889255493683261
1996-12-01,254684.869442299,0.0664006592590454,0.00915495825607304
1997-01-01,257214.422619575,0.0755855258268017,0.0099320905196103
1997-02-01,259865.951056741,0.0845198667168692,0.0103086304809896
1997-03-01,262346.384668192,0.0921180298558211,0.00954505044375709
1997-04-01,265163.374465669,0.100045791581558,0.0107376734047238
1997-05-01,267936.582783574,0.106981561281569,0.0104584893124602
1997-06-01,270827.791259832,0.113253929197322,0.0107906447347377
1997-07-01,273628.919408797,0.118351685575125,0.0103428386574906
1997-08-01,276505.186736612,0.122546965632484,0.0105115619139604
1997-09-01,279344.982182971,0.125615088327688,0.0102703152872989
1997-10-01,282043.914670541,0.127499517497074,0.0096616465650432
1997-11-01,284774.017825878,0.128379211143507,0.00967970948256736
1997-12-01,287353.344519329,0.128270184045745,0.00905745093299948
1998-01-01,289949.764367944,0.127268686627209,0.0090356346920486
1998-02-01,292479.895595628,0.125502954143332,0.00872610203081181
1998-03-01,294714.416064788,0.123378987812366,0.00763991133342268
1998-04-01,297146.564942244,0.120616923589179,0.00825256161517918
1998-05-01,299474.719451748,0.1177074677169,0.00783503760158633
1998-06-01,301873.319723297,0.114631989276463,0.0080093581052163
1998-07-01,304212.923795557,0.111771827527736,0.0077502843722832
1998-08-01,306678.644186447,0.109124381375806,0.00810524536605994
1998-09-01,309226.662955544,0.106970529912727,0.00830843235223244
1998-10-01,311803.488374284,0.105513971958962,0.0083331281788932
1998-11-01,314615.045229277,0.104788448156971,0.00901707953830799
1998-12-01,317514.134009881,0.104960634931895,0.00921471755583481
1999-01-01,320728.67380124,0.106152558876501,0.0101240840864687
1999-02-01,324195.047017852,0.108435321195794,0.0108078057865233
1999-03-01,327566.001417252,0.111469217526306,0.0103979207283
1999-04-01,331587.758571585,0.115906416875576,0.0122777001793004
1999-05-01,335785.015978642,0.121246616720662,0.0126580589860683
1999-06-01,340448.38770799,0.127785615568981,0.0138879685138906
1999-07-01,345273.348863174,0.134972651902227,0.0141723718760047
1999-08-01,350574.181195834,0.143132030356506,0.0153525673212631
1999-09-01,356183.739111883,0.151853257760923,0.0160010583121513
1999-10-01,361880.468778289,0.160604298127329,0.0159937948897126
1999-11-01,368010.426089609,0.169716552561622,0.0169391769940344
1999-12-01,374134.175408953,0.178322900728915,0.0166401517055197
2000-01-01,380611.082467115,0.186707374667055,0.0173117225954642
2000-02-01,387187.508214859,0.194304205990963,0.0172785976307248
2000-03-01,393375.234347527,0.200903734348326,0.0159812132400552
2000-04-01,399968.23093805,0.206221341406073,0.0167600703218116
2000-05-01,406273.057550345,0.20992015193491,0.0157633184953414
2000-06-01,412653.476078629,0.212088207721433,0.0157047542526083
2000-07-01,418645.758468258,0.212505279792563,0.0145213423295798
2000-08-01,424603.789521401,0.211166743863015,0.0142316766206876
2000-09-01,430284.481404667,0.208040778272329,0.0133788063683316
2000-10-01,435497.246217245,0.20342843505063,0.0121146939707442
2000-11-01,440572.763730799,0.197174679022605,0.0116545341162093
2000-12-01,445171.807105674,0.189872073619236,0.0104387827697958
2001-01-01,449607.335863753,0.181277573289261,0.00996363356187624
2001-02-01,453735.255873836,0.171874727998837,0.0091811669446018
2001-03-01,457221.511024805,0.162303752505359,0.0076834566100783
2001-04-01,460840.6635342,0.152193169075916,0.00791553420416058
2001-05-01,464131.191239187,0.142411938506832,0.00714027204056245
2001-06-01,467350.435525086,0.132549372820587,0.00693606537691194
2001-07-01,470327.277557132,0.12344928389569,0.0063696143316978
2001-08-01,473291.790602209,0.114666901903272,0.006303085503512
2001-09-01,476173.33223559,0.106647701262938,0.00608829836181002
2001-10-01,478909.414915089,0.0996841405426203,0.00574598049549158
2001-11-01,481699.206094792,0.0933476731873546,0.00582530034452766
2001-12-01,484373.513389276,0.0880597235895857,0.00555182001682142
2002-01-01,487110.528289196,0.0834132128947478,0.0056506287488125
2002-02-01,489817.60748576,0.0795229181440491,0.00555742288320293
2002-03-01,492232.892202853,0.0765742213212464,0.00493098794363656
2002-04-01,494861.812755569,0.0738241043237373,0.00534080634260503
2002-05-01,497348.015330491,0.0715677479089856,0.00502403400472073
2002-06-01,499849.126140936,0.0695381626837179,0.005028894724318
2002-07-01,502197.367995306,0.0677615183276348,0.00469790128973435
2002-08-01,504545.398014336,0.0660345436635623,0.00467551239546027
2002-09-01,506820.844760494,0.0643620934860356,0.00450989495715071
2002-10-01,508967.137504872,0.0627628558839513,0.0042348154511922
2002-11-01,511158.237227296,0.0611564867862935,0.00430499252498873
2002-12-01,513286.523718115,0.0596915593640288,0.00416365488378645
2003-01-01,515533.077489738,0.0583492812203545,0.00437680256116968
2003-02-01,517883.222745172,0.0572980938833003,0.00455867015726263
2003-03-01,520145.462363918,0.056706023923248,0.00436824272227554
2003-04-01,522863.840627262,0.0565855500463206,0.00522618855692825
2003-05-01,525767.955637731,0.0571429651495745,0.00555424717644448
2003-06-01,529114.315929771,0.058548046317046,0.00636470948097401
2003-07-01,532744.583253602,0.0608271114208254,0.0068610264635387
2003-08-01,536955.998832799,0.0642372340447797,0.00790513073540255
2003-09-01,541674.44333219,0.0687690708304751,0.00878739507454496
2003-10-01,546757.067979737,0.0742482720203193,0.00938317232816233
2003-11-01,552572.502261059,0.0810204394991445,0.0106362306440955
2003-12-01,558755.579701439,0.0885841608580675,0.0111896220225927
2004-01-01,565719.127039883,0.097347874930767,0.0124626000910182
2004-02-01,573246.654300527,0.106903311642125,0.0133061211842571
2004-03-01,580776.985884378,0.116566475933303,0.0131362852750336
2004-04-01,589320.433838938,0.127101145743699,0.0147103762067131
2004-05-01,598029.13317644,0.137439295727066,0.0147775282129146
2004-06-01,607428.903815237,0.148010714372471,0.0157179142575727
2004-07-01,616849.798672779,0.157871554330081,0.0155094609399875
2004-08-01,626850.710486561,0.167415415507359,0.0162128800808556
2004-09-01,637049.402339001,0.1760743195121,0.0162697300678238
2004-10-01,647029.829438678,0.183395455370057,0.0156666454171892
2004-11-01,657374.877819759,0.189662668934595,0.0159885184738009
2004-12-01,667337.91006012,0.194328852012003,0.015155784890053
2005-01-01,677500.305453662,0.197591301179215,0.0152282602866465
2005-02-01,687444.577982452,0.199212542847316,0.0146778864138382
2005-03-01,696172.252523875,0.198691183438991,0.0126958227920535
2005-04-01,705483.838204164,0.197114163526483,0.0133754047888743
2005-05-01,714086.737056272,0.19406680618282,0.0121943244993481
2005-06-01,722496.539721099,0.189433915941645,0.0117770044287557
2005-07-01,730121.528624665,0.183629353848541,0.0105536684044314
2005-08-01,737445.785167867,0.176429687054932,0.0100315581119748
2005-09-01,744188.471719674,0.168180158379082,0.00914329797175828
2005-10-01,750148.979346592,0.159373100305705,0.00800940602203193
2005-11-01,755738.31664246,0.149630663022798,0.00745096967369996
2005-12-01,760620.704472617,0.139783448544221,0.00646042118368073
2006-01-01,765171.82564488,0.12940439950431,0.00598343056598627
2006-02-01,769278.18176537,0.119040292707068,0.00536658039784599
2006-03-01,772656.86280147,0.109864491151882,0.00439201463942052
2006-04-01,776108.474024448,0.100108084687045,0.00446719803984275
2006-05-01,779240.499935657,0.0912406847772766,0.00403555175086256
2006-06-01,782348.752691653,0.0828408299279302,0.00398882342005114
2006-07-01,785316.112755334,0.0755964342465563,0.00379288655279697
2006-08-01,788425.502280397,0.0691301220210041,0.00395941134348177
2006-09-01,791657.106837109,0.0637857705693081,0.00409880774704185
2006-10-01,794966.868619548,0.0597453179393703,0.00418080221077388
2006-11-01,798614.607600762,0.056734308707264,0.00458854214584781
2006-12-01,802395.350428709,0.0549217838936653,0.00473412681406571
2007-01-01,806584.102568476,0.0541215391571606,0.00522030958620134
2007-02-01,811048.018991744,0.0542974417011524,0.00553434714253997
2007-03-01,815293.076339387,0.0551813043934246,0.00523403947514778
2007-04-01,820169.12017248,0.056771247348401,0.0059807251828834
2007-05-01,824995.900937883,0.0587179452377085,0.00588510423848687
2007-06-01,830014.492572319,0.0609264598641892,0.00608317159967742
2007-07-01,834794.662553497,0.0630046283203891,0.00575914038122805
2007-08-01,839534.403116048,0.0648240077062798,0.00567773223184465
2007-09-01,843940.269445029,0.0660426871133719,0.0052479878282865
2007-10-01,847759.684155879,0.0664088248457506,0.00452569316707807
2007-11-01,851117.53538242,0.0657425086918839,0.00396085269127333
2007-12-01,853676.385649095,0.0639099356607531,0.00300645934350929
2008-01-01,855490.068409023,0.0606334363457106,0.00212455538236389
